,date,meantemp,humidity,wind_speed,meanpressure,year,month,day,weekday,is_weekend
0,2013-01-01,10.0,84.5,0.0,1015.666667,2013,1,1,1,0
1,2013-01-02,7.4,92.0,2.98,1017.8,2013,1,2,2,0
2,2013-01-03,7.166667,87.0,4.633333333333334,1018.666667,2013,1,3,3,0
3,2013-01-04,8.666667,71.333333,1.2333333333333334,1017.166667,2013,1,4,4,0
4,2013-01-05,6.0,86.833333,3.7,1016.5,2013,1,5,5,1
5,2013-01-06,7.0,82.8,1.48,1018.0,2013,1,6,6,1
6,2013-01-07,7.0,78.6,6.3,1020.0,2013,1,7,0,0
7,2013-01-08,8.857143,63.714286,7.142857142857143,1018.714286,2013,1,8,1,0
8,2013-01-09,14.0,51.25,12.5,1017.0,2013,1,9,2,0
9,2013-01-10,11.0,62.0,7.399999999999999,1015.666667,2013,1,10,3,0
10,2013-01-11,15.714286,51.285714,10.571428571428571,1016.142857,2013,1,11,4,0
11,2013-01-12,14.0,74.0,13.228571428571428,1015.571429,2013,1,12,5,1
12,2013-01-13,15.833333,75.166667,4.633333333333334,1013.333333,2013,1,13,6,1
13,2013-01-14,12.833333,88.166667,0.6166666666666667,1015.166667,2013,1,14,0,0
14,2013-01-15,14.714286,71.857143,0.5285714285714286,1015.857143,2013,1,15,1,0
15,2013-01-16,13.833333,86.666667,0.0,1016.666667,2013,1,16,2,0
16,2013-01-17,16.5,80.833333,0.0,1015.833333,2013,1,17,3,0
17,2013-01-18,13.833333,92.166667,8.950000000000001,1014.5,2013,1,18,4,0
18,2013-01-19,12.5,76.666667,5.883333333333333,1021.666667,2013,1,19,5,1
19,2013-01-20,11.285714,75.285714,8.471428571428572,1020.285714,2013,1,20,6,1
20,2013-01-21,11.2,77.0,2.22,1021.0,2013,1,21,0,0
21,2013-01-22,9.5,79.666667,3.083333333333333,1021.8,2013,1,22,1,0
22,2013-01-23,14.0,60.166667,4.016666666666667,1020.5,2013,1,23,2,0
23,2013-01-24,13.833333,60.666667,6.166666666666667,1020.5,2013,1,24,3,0
25,2013-01-25,12.25,67.0,5.55,1020.75,2013,1,25,4,0
